id;noteDEA;noteDYS;choix1;choix2;choix3
eleve65;14;13;BIO;NRJ;EOC
eleve66;14;8;BIO;NRJ;EOC
eleve67;13;11;BIO;NRJ;EOC
eleve68;14;10;BIO;NRJ;EOC
eleve69;15;9;BIO;NRJ;EOC
eleve70;15;12;BIO;NRJ;EOC
eleve71;18;10;NRJ;EOC;BIO
eleve72;13;8;NRJ;EOC;BIO
eleve73;13;10;NRJ;EOC;BIO
eleve74;15;14;NRJ;EOC;BIO
eleve75;18;8;NRJ;EOC;BIO
eleve76;18;13;NRJ;EOC;BIO
eleve77;12;12;NRJ;EOC;BIO
eleve78;12;13;NRJ;EOC;BIO
eleve79;18;14;NRJ;EOC;BIO
eleve80;12;11;NRJ;EOC;BIO
eleve81;14;12;EOC;BIO;NRJ
eleve82;13;10;EOC;BIO;NRJ
eleve83;18;8;EOC;BIO;NRJ
eleve84;15;8;EOC;BIO;NRJ
eleve85;12;8;EOC;BIO;NRJ
eleve86;16;11;EOC;BIO;NRJ
eleve87;16;11;EOC;BIO;NRJ
eleve88;13;10;EOC;BIO;NRJ
eleve89;15;8;EOC;BIO;NRJ
eleve90;13;9;EOC;BIO;NRJ
eleve91;18;11;LD;SE;CSS
eleve92;15;11;LD;SE;CSS
eleve93;14;13;LD;SE;CSS
eleve94;15;14;LD;SE;CSS
eleve95;13;14;LD;SE;CSS
eleve96;16;9;LD;SE;CSS
eleve97;14;9;LD;SE;CSS
eleve98;17;8;LD;SE;CSS
eleve99;12;10;LD;SE;CSS
eleve100;14;12;LD;SE;CSS
eleve101;12;11;SE;CSS;LD
eleve102;16;8;SE;CSS;LD
eleve103;13;10;SE;CSS;LD
eleve104;18;12;SE;CSS;LD
eleve105;12;14;SE;CSS;LD
eleve106;18;10;SE;CSS;LD
eleve107;15;10;SE;CSS;LD
eleve108;14;12;SE;CSS;LD
eleve109;16;13;SE;CSS;LD
eleve110;17;8;SE;CSS;LD
eleve111;12;9;CSS;LD;SE
eleve112;13;9;CSS;LD;SE
eleve113;17;12;CSS;LD;SE
eleve114;18;12;CSS;LD;SE
eleve115;18;10;CSS;LD;SE
eleve116;12;8;CSS;LD;SE
eleve117;17;11;CSS;LD;SE
eleve118;15;9;CSS;LD;SE
eleve119;14;13;CSS;LD;SE
eleve120;15;13;CSS;LD;SE
eleve121;10;17;BIO;NRJ;EOC
eleve122;12;17;BIO;NRJ;EOC
eleve123;10;18;BIO;NRJ;EOC
eleve124;9;12;BIO;NRJ;EOC
eleve125;9;14;BIO;NRJ;EOC
eleve126;10;16;BIO;NRJ;EOC
eleve127;11;13;BIO;NRJ;EOC
eleve128;11;17;BIO;NRJ;EOC
eleve129;13;15;BIO;NRJ;EOC
eleve130;8;13;BIO;NRJ;EOC
eleve131;13;14;NRJ;EOC;BIO
eleve132;13;12;NRJ;EOC;BIO
eleve133;8;15;NRJ;EOC;BIO
eleve134;11;17;NRJ;EOC;BIO
eleve135;12;15;NRJ;EOC;BIO
eleve136;13;12;NRJ;EOC;BIO
eleve137;8;15;NRJ;EOC;BIO
eleve138;9;16;NRJ;EOC;BIO
eleve139;9;16;NRJ;EOC;BIO
eleve140;12;12;NRJ;EOC;BIO
eleve141;14;15;EOC;BIO;NRJ
eleve142;14;18;EOC;BIO;NRJ
eleve143;12;15;EOC;BIO;NRJ
eleve144;8;16;EOC;BIO;NRJ
eleve145;12;16;EOC;BIO;NRJ
eleve146;10;16;EOC;BIO;NRJ
eleve147;14;15;EOC;BIO;NRJ
eleve148;9;14;EOC;BIO;NRJ
eleve149;13;15;EOC;BIO;NRJ
eleve150;11;16;EOC;BIO;NRJ
eleve151;9;18;LD;SE;CSS
eleve152;14;15;LD;SE;CSS
eleve153;12;14;LD;SE;CSS
eleve154;12;14;LD;SE;CSS
eleve155;9;18;LD;SE;CSS
eleve156;8;16;LD;SE;CSS
eleve157;14;14;LD;SE;CSS
eleve158;13;16;LD;SE;CSS
eleve159;12;15;LD;SE;CSS
eleve160;10;12;LD;SE;CSS
eleve161;9;16;SE;CSS;LD
eleve162;12;17;SE;CSS;LD
eleve163;11;12;SE;CSS;LD
eleve164;14;12;SE;CSS;LD
eleve165;9;18;SE;CSS;LD
eleve166;12;17;SE;CSS;LD
eleve167;12;13;SE;CSS;LD
eleve168;13;15;SE;CSS;LD
eleve169;12;17;SE;CSS;LD
eleve170;9;18;SE;CSS;LD
eleve171;10;16;CSS;LD;SE
eleve172;13;13;CSS;LD;SE
eleve173;11;12;CSS;LD;SE
eleve174;14;13;CSS;LD;SE
eleve175;12;16;CSS;LD;SE
eleve176;8;18;CSS;LD;SE
eleve177;10;16;CSS;LD;SE
eleve178;11;12;CSS;LD;SE
eleve179;9;15;CSS;LD;SE
eleve180;14;17;CSS;LD;SE
eleve181;10;10;BIO;NRJ;EOC
eleve182;12;9;BIO;NRJ;EOC
eleve183;11;14;BIO;NRJ;EOC
eleve184;14;14;BIO;NRJ;EOC
eleve185;9;12;BIO;NRJ;EOC
eleve186;14;13;BIO;NRJ;EOC
eleve187;14;13;BIO;NRJ;EOC
eleve188;9;14;BIO;NRJ;EOC
eleve189;14;13;BIO;NRJ;EOC
eleve190;14;8;BIO;NRJ;EOC
eleve191;13;14;NRJ;EOC;BIO
eleve192;14;12;NRJ;EOC;BIO
eleve193;14;10;NRJ;EOC;BIO
eleve194;12;8;NRJ;EOC;BIO
eleve195;10;11;NRJ;EOC;BIO
eleve196;14;8;NRJ;EOC;BIO
eleve197;11;14;NRJ;EOC;BIO
eleve198;9;10;NRJ;EOC;BIO
eleve199;14;14;NRJ;EOC;BIO
eleve200;11;14;NRJ;EOC;BIO
eleve201;12;13;EOC;BIO;NRJ
eleve202;11;8;EOC;BIO;NRJ
eleve203;9;10;EOC;BIO;NRJ
eleve204;8;10;EOC;BIO;NRJ
eleve205;14;14;EOC;BIO;NRJ
eleve206;8;12;EOC;BIO;NRJ
eleve207;13;8;EOC;BIO;NRJ
eleve208;11;8;EOC;BIO;NRJ
eleve209;11;11;EOC;BIO;NRJ
eleve210;13;13;EOC;BIO;NRJ
eleve211;11;12;LD;SE;CSS
eleve212;8;12;LD;SE;CSS
eleve213;9;14;LD;SE;CSS
eleve214;14;11;LD;SE;CSS
eleve215;8;11;LD;SE;CSS
eleve216;11;9;LD;SE;CSS
eleve217;14;10;LD;SE;CSS
eleve218;14;14;LD;SE;CSS
eleve219;12;10;LD;SE;CSS
eleve220;12;13;LD;SE;CSS
eleve221;11;12;SE;CSS;LD
eleve222;12;10;SE;CSS;LD
eleve223;10;11;SE;CSS;LD
eleve224;12;13;SE;CSS;LD
eleve225;12;13;SE;CSS;LD
eleve226;10;9;SE;CSS;LD
eleve227;10;12;SE;CSS;LD
eleve228;13;11;SE;CSS;LD
eleve229;12;8;SE;CSS;LD
eleve230;8;13;SE;CSS;LD
eleve231;8;8;CSS;LD;SE
eleve232;14;8;CSS;LD;SE
eleve233;8;12;CSS;LD;SE
eleve234;13;13;CSS;LD;SE
eleve235;11;9;CSS;LD;SE
eleve236;10;10;CSS;LD;SE
eleve237;11;12;CSS;LD;SE
eleve238;13;8;CSS;LD;SE
eleve239;9;8;CSS;LD;SE
eleve240;13;9;CSS;LD;SE
